dataset,model,cv_rmse_mean,cv_rmse_std,val_rmse,test_rmse,test_score
raw,RF_raw,44.66863235908208,2.9349288233438036,35.233471405404515,35.2093724296371,67416.82280387457
raw,XGB_raw,45.86494445800781,2.8996588662555793,36.32310113111558,36.276091397101766,466160.2424967056
raw,LSTM_raw,,,27.33571310460914,32.06237998490923,80968.80064841683
eng25,RF_eng25,14.294033072689226,0.9128935074613592,11.951314397185183,13.91236818645753,338.13446089062296
eng25,XGB_eng25,14.07654266357422,1.0787666369625328,11.770409572479041,14.506932414564753,375.84522808576827
eng25,LSTM_eng25,,,11.510988376049847,15.411763538317686,329.6576505238568
